GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
interop-transaction-engine,com.comviva.interop.txnengine.services,PendingTransactionService,131,226,7,11,26,43,6,8,0,5
interop-transaction-engine,com.comviva.interop.txnengine.services,CreateTransactionService,127,471,19,25,25,121,14,20,0,12
interop-transaction-engine,com.comviva.interop.txnengine.services,P2POnUsTransactionService,0,357,0,6,0,77,0,7,0,4
interop-transaction-engine,com.comviva.interop.txnengine.services,OffUsTransactionService,0,234,0,4,0,57,0,7,0,5
interop-transaction-engine,com.comviva.interop.txnengine.services,ReceiveTransactionService,137,659,22,26,33,156,18,21,1,14
interop-transaction-engine,com.comviva.interop.txnengine.services,OffusHPS,0,468,1,5,0,64,1,4,0,2
interop-transaction-engine,com.comviva.interop.txnengine.services,IdleConnectionMonitorThread,9,29,1,1,2,9,1,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.services,OffUsTransactionHPSHandler,16,347,7,17,3,70,7,11,0,6
interop-transaction-engine,com.comviva.interop.txnengine.services,NetworkMessageService,123,7,2,0,30,2,3,2,2,2
interop-transaction-engine,com.comviva.interop.txnengine.services,ConfirmTxnVerificationThread,0,28,0,4,0,8,0,4,0,2
interop-transaction-engine,com.comviva.interop.txnengine.services,MPOnUsTransactionService,176,23,2,0,44,7,2,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.services,TransactionStatusService,0,319,1,7,0,83,1,6,0,3
interop-transaction-engine,com.comviva.interop.txnengine.services,NetworkMessageHPS,131,3,0,0,16,1,1,1,1,1
interop-transaction-engine,com.comviva.interop.txnengine.services,GetDefaultWalletStatusHandler,10,105,3,7,3,22,3,5,0,3
interop-transaction-engine,com.comviva.interop.txnengine.services,GetListOfTransactionsService,43,413,10,32,12,99,8,18,0,5
interop-transaction-engine,com.comviva.interop.txnengine.services,TransactionQuotationService,0,162,0,2,0,35,0,5,0,4
interop-transaction-engine,com.comviva.interop.txnengine.services,ConfirmTransactionService,38,245,2,14,9,46,2,11,0,5
interop-transaction-engine,com.comviva.interop.txnengine.services,NetworkMessageHPSHandler,111,7,6,0,26,2,4,2,1,2
interop-transaction-engine,com.comviva.interop.txnengine.util,TransactionQuotationResponseCache,1,68,3,3,1,19,3,6,0,6
interop-transaction-engine,com.comviva.interop.txnengine.util,SMSUtility,0,190,0,2,0,40,0,5,0,4
interop-transaction-engine,com.comviva.interop.txnengine.util,CreateTransactionResponseCache,0,69,2,4,0,20,2,7,0,6
interop-transaction-engine,com.comviva.interop.txnengine.util,ThirdPartyCaller,11,500,13,31,2,95,13,20,0,11
interop-transaction-engine,com.comviva.interop.txnengine.util,ConfirmTransactionResponseCache,1,68,3,3,1,19,3,6,0,6
interop-transaction-engine,com.comviva.interop.txnengine.util,StringUtils,49,248,5,15,14,58,6,18,2,12
interop-transaction-engine,com.comviva.interop.txnengine.util,PendingTransactionsResponseCache,1,68,3,3,1,19,3,6,0,6
interop-transaction-engine,com.comviva.interop.txnengine.util,DateUtils,92,0,0,0,24,0,8,0,8,0
interop-transaction-engine,com.comviva.interop.txnengine.util,LoggerUtil,392,1233,16,30,109,310,20,45,6,36
interop-transaction-engine,com.comviva.interop.txnengine.util,TransactionDataPreparationUtil,9,378,2,4,2,90,2,9,0,8
interop-transaction-engine,com.comviva.interop.txnengine.util,VelocityTemplateMaker,67,86,0,0,18,20,0,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.util,MobiquityConst,0,444,0,0,0,44,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.util,CastUtils.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.util,ReceiveTransactionResponseCache,1,77,3,3,1,22,3,7,0,7
interop-transaction-engine,com.comviva.interop.txnengine.util,CastUtils,36,66,8,3,11,17,5,12,1,10
interop-transaction-engine,com.comviva.interop.txnengine.exception,InteropException,15,42,0,0,6,16,1,6,1,6
interop-transaction-engine,com.comviva.interop.txnengine.configuration,SetDeferredResultAsyncConfig,0,47,0,0,0,14,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,AsyncConfiguration,14,47,0,0,5,13,2,2,2,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ServiceTemplateNames,9,48,0,0,3,16,3,16,3,16
interop-transaction-engine,com.comviva.interop.txnengine.configuration,SMSServerProperties,0,36,0,0,0,12,0,12,0,12
interop-transaction-engine,com.comviva.interop.txnengine.configuration,SwaggerDocumentationConfig,0,74,0,0,0,11,0,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.configuration,Resource,0,30,0,0,0,10,0,10,0,10
interop-transaction-engine,com.comviva.interop.txnengine.configuration,HttpClientConfig,41,122,5,1,12,31,3,7,0,7
interop-transaction-engine,com.comviva.interop.txnengine.configuration,HttpClientProperties,0,33,0,0,0,11,0,11,0,11
interop-transaction-engine,com.comviva.interop.txnengine.configuration,RestTemplateConfig,0,39,0,0,0,12,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.configuration,CurrencyLoader,3,49,1,5,1,9,2,4,1,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ServiceResources,6,12,0,0,2,4,2,4,2,4
interop-transaction-engine,com.comviva.interop.txnengine.configuration,BrokerServiceProperties,3,84,0,0,1,28,1,28,1,28
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ThreadPoolProperties,0,57,0,0,0,17,0,17,0,17
interop-transaction-engine,com.comviva.interop.txnengine.configuration,HomeController,0,5,0,0,0,2,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,NonFinancialServerProperties,0,12,0,0,0,4,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.configuration,EigTags,9,33,0,0,3,11,3,11,3,11
interop-transaction-engine,com.comviva.interop.txnengine.configuration,APIKeyAuthenticationFilter,0,13,0,0,0,5,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ThirdPartyCallsAsyncConfig,0,47,0,0,0,14,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,LanguageLoader,15,25,0,0,3,7,1,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.configuration,BrokerServiceURLProperties,3,60,0,0,1,20,1,20,1,20
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ChannelUserDetailsLoader,15,7,0,0,3,2,1,2,1,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,APISecurityConfig,5,61,1,1,1,14,1,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.configuration,StatusCodesLoader,0,108,0,6,0,19,0,6,0,3
interop-transaction-engine,com.comviva.interop.txnengine.entities,BrokerNonFinServiceDetails,31,42,0,0,9,3,10,11,10,11
interop-transaction-engine,com.comviva.interop.txnengine.entities,ChannelUserDetails,3,63,0,0,1,10,1,18,1,18
interop-transaction-engine,com.comviva.interop.txnengine.entities,NonFinancialServiceDetails,34,46,0,0,10,3,11,12,11,12
interop-transaction-engine,com.comviva.interop.txnengine.entities,SmsDelivery,4,104,0,0,0,18,1,30,1,30
interop-transaction-engine,com.comviva.interop.txnengine.entities,StatusCodes,20,18,0,0,1,6,5,6,5,6
interop-transaction-engine,com.comviva.interop.txnengine.entities,Languages,0,17,0,0,0,4,0,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.entities,InteropTransactionDetails,37,141,0,0,7,20,11,40,11,40
interop-transaction-engine,com.comviva.interop.txnengine.entities,InteropTransactions,22,114,0,0,6,15,7,32,7,32
interop-transaction-engine,com.comviva.interop.txnengine.entities,StatusCodesId,21,3,0,0,4,1,6,1,6,1
interop-transaction-engine,com.comviva.interop.txnengine.entities,SmsTemplates,0,31,0,0,0,7,0,9,0,9
interop-transaction-engine,com.comviva.interop.txnengine.entities,Currency,4,27,0,0,0,6,1,8,1,8
interop-transaction-engine,com.comviva.interop.txnengine.enums,ValidationErrors,0,573,0,0,0,53,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.enums,UnicId,0,70,0,0,0,10,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,Constants,0,147,0,0,0,17,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionStatus,2,178,1,3,1,22,1,6,0,5
interop-transaction-engine,com.comviva.interop.txnengine.enums,SourceAccountType,6,123,3,5,2,19,3,8,0,7
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionSubTypes,0,84,0,0,0,9,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,NonFinancialServiceTypes,0,81,0,0,0,11,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ISOFields,0,433,0,0,0,43,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ServiceCategories,0,24,0,0,0,2,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,DefaultWalletStatusCodes,3,66,0,0,1,10,1,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionTypes,0,48,0,0,0,8,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ThirdPartyResponseCodes,3,78,0,0,1,11,1,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ConfirmTransactionActionTypes,0,37,0,0,0,7,0,3,0,3
